Airport,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay_mean,LateArrMean,LatePercnt,ArrClass
ORD,09/06/2007,Chicago,0,0,26,19,16,8,11,0,0,0,IL,0,0,0.77838428,28.80756014,31.76855895,0
ORD,10/06/2007,Chicago,0,0,27,20,16,9,13,0,0,0,IL,0,0,0.142161636,19.12594458,38.65628043,0
ORD,11/06/2007,Chicago,0,0,30,22,16,11,14,0,0,0,IL,0,0,3.513488372,29.3680203,36.65116279,0
ORD,12/06/2007,Chicago,0,0,28,23,16,14,17,0,0,0,IL,0,0,11.01347449,41.56979405,42.05967276,0
ORD,13/06/2007,Chicago,0,0,31,23,16,14,16,0,0,0,IL,0,0,11.27815207,36.77291667,46.19826757,0
ORD,14/06/2007,Chicago,0,0,32,25,16,11,18,0,0,0,IL,0,0,4.440298508,25.68764045,41.51119403,0
ORD,15/06/2007,Chicago,0,0,33,25,15,8,17,0,0,0,IL,0,0,0.637465051,22.34447301,36.25349487,0
ORD,16/06/2007,Chicago,0,0,34,27,15,9,19,T,1,0,IL,0,0,8.927116827,29.51287554,49.94640943,0
ORD,17/06/2007,Chicago,0,0,33,27,11,10,21,0,0,0,IL,0,0,5.950914341,30.17718447,39.65351299,0
ORD,18/06/2007,Chicago,0,0,32,26,12,24,21,7.11,1,0,IL,1,0,56.54466231,97.96309315,61.98257081,1
ORD,19/06/2007,Chicago,0,0,27,23,13,18,18,14.73,1,0,IL,0,0,30.97749511,52.12371134,66.43835616,1
ORD,20/06/2007,Chicago,0,0,29,23,16,14,16,0,0,0,IL,0,0,21.72216936,42.33015873,59.94291151,1
ORD,21/06/2007,Chicago,0,0,25,21,16,17,16,0.25,1,0,IL,0,0,10.08247423,33.0814664,46.01686973,0
ORD,22/06/2007,Chicago,0,0,24,21,16,14,16,T,1,0,IL,0,0,14.08504673,27.4421365,62.99065421,0
ORD,23/06/2007,Chicago,0,0,19,18,14,14,17,1.27,1,0,IL,0,0,2.96637744,21.60519481,41.75704989,0
ORD,24/06/2007,Chicago,0,0,25,21,12,13,17,0,0,0,IL,0,0,3.407191448,26.5012987,37.41496599,0
ORD,25/06/2007,Chicago,0,0,32,25,8,11,18,0,0,0,IL,0,0,18.83158896,35.81515152,62.79733587,1
ORD,26/06/2007,Chicago,0,0,33,27,13,11,21,4.06,1,0,IL,1,0,50.79820628,91.63148148,60.53811659,1
ORD,27/06/2007,Chicago,0,0,33,27,14,14,22,3.81,1,0,IL,1,0,64.85308057,99.54231434,68.60189573,1
ORD,28/06/2007,Chicago,0,0,23,19,16,20,14,0,0,0,IL,0,0,29.4534413,52.1792,63.25910931,1
